Model,Accuracy,AUC,Optimal_Threshold
LogisticRegression,0.723207948899929,0.8448642434575937,0.851690737129293
AdaBoost,0.7253371185237757,0.8437572657521507,0.49358187643797496
GradientBoosting,0.7374024130589071,0.837913663489111,0.5016735206166495
XGBoost,0.7508871540099361,0.835700999767496,0.3789457380771637
RandomForest,0.7494677075940384,0.8299219819680179,0.51
NaiveBayes,0.7246273953158269,0.829015216099615,0.3569772525692891
SVM,0.7253371185237757,0.827700276421504,0.6136192203157886
KNN,0.6671398154719659,0.7564855718308404,0.8
DecisionTree,0.7402413058907026,0.7471996176599758,1.0
